Sample_name,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51,PC 52,PC 53,PC 54,PC 55,PC 56,PC 57,PC 58,PC 59,PC 60,PC 61,PC 62,PC 63,PC 64,PC 65,PC 66,PC 67,PC 68,PC 69,PC 70,PC 71,PC 72,PC 73,PC 74,PC 75,PC 76,PC 77,PC 78,PC 79,PC 80,PC 81,PC 82,PC 83,PC 84,PC 85,PC 86,PC 87,PC 88,PC 89,PC 90,PC 91,PC 92,PC 93,PC 94,PC 95,PC 96,PC 97,PC 98,PC 99,PC 100,PC 101,PC 102,PC 103,PC 104,PC 105,PC 106,PC 107,PC 108,PC 109,PC 110,PC 111,PC 112,PC 113,PC 114
AMNH_77,-0.06543405649773985,0.05718985400783415,0.04738949256573597,-0.002679833330757528,0.11510058178330021,-0.01648433798501317,0.014423791440331544,-0.037330158699388126,-0.01661699010330756,-0.013057418646191662,0.01755148446839976,-0.08767194139438213,0.08302497125958237,-0.14727921008864484,-0.09056262439795644,0.07409892178590187,0.016123915215678904,-0.12570681669511274,0.043556227278457836,0.02563273510204006,-0.14258069928060904,0.002554632152821116,0.0774706013789755,-0.13536508857541307,0.002159334339382801,0.11766190516736086,-0.0070617996812488955,0.0263271607669883,0.04041848092691908,-0.06656947749865325,-0.042703837766488326,-0.03693465770064457,-0.11771614597660263,0.05896248785249071,-0.13934632525286555,-0.12273906967419719,0.007711835138625829,0.1135920235460822,-0.0009405336014421036,0.04362436128200364,0.08073712805654451,-0.01971827588124668,-0.07081399830671976,0.1603350018312491,-0.062453059872964414,0.1289948680417582,-0.003980714448779485,0.004572940047982878,-0.1069783371033444,0.08083478327075619,-0.1476749077489196,-0.021928293703093425,0.20633481928169303,-0.08441479074541704,-0.0032618691127253257,0.18454772163074157,-0.04556301937889187,-0.028654154471946684,0.004128428644811369,0.0389165399473255,-0.25195942597110865,0.24132622715791616,-0.07958312472072392,-0.09749910135572726,0.042637791790056126,-0.007781699694155678,-0.07083205149363121,0.08355388798891883,0.04137139767528079,0.07411189725234084,-0.07684088781252184,0.1325018028269737,0.0390042541995974,-0.06698760803075182,0.14598473137459678,0.07074746473654833,-0.1677897616712213,0.024885448814653252,-0.13927957481811026,-0.09326515175029038,-0.06017912817991278,0.021404957954248283,0.20252550289979224,0.0500367340335678,-0.12748439761578093,0.05426036268164671,0.0718490352517236,-0.059585118494533566,0.30712315081587954,-0.02220692022215704,0.004599601531665768,0.06575863743440279,0.18497121249975515,0.02030786973011879,0.08798963089931472,-0.11331224293992564,-0.007841051642241545,-0.06130432367918847,0.010463959406794246,0.13872544629804162,-0.11979221164751189,0.13346396235062674,-0.13088158231485342,0.028028448284597614,0.007742265331709836,-0.013805658993790442,0.02076100637653383,0.09362941165220519,-5.176251024938902e-13,6.858545975368601e-13,-2.0769143455582963e-13,3.9558187503378505e-13,2.2633131150482597e-13,-5.695451626525117e-13
AMNH_78,-0.10587679226186993,-0.008664314961386695,0.06260053714567768,0.02090442169561624,0.1381446150533856,0.005528796247701812,0.012585812530028693,-0.03971016130790719,-0.02870717701252735,-0.013679961095169538,0.011739025164782839,-0.1026015227869399,0.08391959078703366,-0.13354454955347353,-0.08490067678938676,0.06677761090442103,0.0203585204189017,-0.1064647938635444,0.03448251407621081,0.017801732843844988,-0.14241727046966127,0.008988682640195051,0.06458602399602169,-0.13181858178337494,0.0006358058082422429,0.10878107315387782,0.003848960651742335,0.03419583750986935,0.04684144144951803,-0.05565649005816109,-0.04578171040222159,-0.042213130587750385,-0.12679754806321122,0.05292906136151562,-0.14211158486243497,-0.12237215021972123,0.0037362002869654703,0.11477802511830439,0.00402553994993509,0.049959299223538076,0.09333138629241215,-0.02174510893468256,-0.06872168678008708,0.1616744147714111,-0.05734693953050655,0.12554528376258237,-0.004667405741141931,0.0027476617831898673,-0.10423778605128352,0.07835996747141387,-0.14414804309393567,-0.026264318046902962,0.20774373002968924,-0.0832874497201285,-0.006779686659111812,0.18687316483354593,-0.04995147057721694,-0.029756001334707165,0.012074857543668311,0.04096499032291192,-0.2430169040381683,0.2379364398235234,-0.07627419521026167,-0.10284948234516837,0.051144997340878635,-0.008219685195507106,-0.06917649893303049,0.08224146439205993,0.045023792120251795,0.07430017263862244,-0.07816697167228553,0.13624629889215392,0.03649738693489017,-0.06592042872645734,0.14556707969354615,0.07114678095104293,-0.16244967393444487,0.0249566987946122,-0.13986374539963087,-0.09563331186272334,-0.06164564401913791,0.020862327799627663,0.20471228998879665,0.04999681245528148,-0.12648506426842793,0.053433627606721074,0.06987958064939276,-0.05710653124874215,0.30918897718441146,-0.019946897622038957,0.004397900179176407,0.06675835120243412,0.1851902343924901,0.02022884349402184,0.08882003598721293,-0.11278890588493197,-0.007907480294837023,-0.061585197179334514,0.01150547385084963,0.13887900008566492,-0.1193558011465009,0.13353573079720707,-0.13090254186072525,0.02791389604914232,0.007416909664673378,-0.014164983667302036,0.020717908749523,0.09365975780438479,-5.170823698642828e-13,6.867023103974611e-13,-2.0858540301417458e-13,3.965078455427132e-13,2.2690202075076785e-13,-5.694999427765751e-13
AMNH_6285,-0.03802142977258541,-0.05899523516593167,0.015909064264232418,0.006587424208832454,0.14110849655238217,-0.04845934240950885,0.0016391877977280736,-0.054765352646483606,-0.028499164812971312,0.05612352735204803,0.020428713388947445,-0.07579029646193491,0.09505165509450933,-0.1593160719142516,-0.07437143022493414,0.05837706143821359,0.02039063162890696,-0.1279636952619395,0.03719167665166844,0.03452029613234528,-0.1411719492315544,-0.029775849285922064,0.06210786173229228,-0.115191034322278,0.021259866295886304,0.12401429766884418,0.007814183226200871,0.033034547707924716,0.04247402260247387,-0.061476667950280686,-0.050155931168018475,-0.0375995719315578,-0.11183933970385637,0.05133209159633836,-0.1414235604500235,-0.12329226525354253,0.012832817225008099,0.12097006304116349,0.007903703114262785,0.04324157317935742,0.08176023505646275,-0.02174393114290701,-0.07739181910652398,0.16361306568279554,-0.05729275380059048,0.1275117216513379,-0.0021121319945149697,0.011873596241336739,-0.10571232215518607,0.07755402104322197,-0.14207756683210854,-0.023761623695823755,0.20441708644689138,-0.08031158167385789,-0.006296561692005926,0.1871769069380848,-0.045405252633344856,-0.031616720017464114,0.004697133113691334,0.039529555802182745,-0.24604875283869188,0.2370043925087668,-0.07744983274328282,-0.10340861358906901,0.04798303460827682,-0.012039239958317304,-0.0718424896410927,0.08406668614380854,0.040701318771382514,0.07503663775449687,-0.07861954679957311,0.13341097064366297,0.04107126407740098,-0.06393342132524663,0.14321587919358297,0.0740053058714171,-0.16245030398219157,0.025844516618386975,-0.14075793830956693,-0.09442380959698567,-0.05863733052290171,0.02145542392396112,0.20370105462650212,0.04995696982033209,-0.12635750414128213,0.05516717120490711,0.0706000213968707,-0.05832203130220154,0.30858391561168286,-0.02067186710283144,0.004236925847593422,0.06555577815365972,0.18419472135005857,0.020201953794935206,0.0886928073208332,-0.11272677722964497,-0.008146987284938534,-0.06092119028877226,0.0109939337923995,0.1390546037843464,-0.11965264370150169,0.13324390631565,-0.13075070648064333,0.027565534421407207,0.007288972652249814,-0.013896654456629857,0.02070397670908167,0.09362481118446286,-5.177135990270367e-13,6.861504006317164e-13,-2.0793564762300208e-13,3.961381490201382e-13,2.2610241553599788e-13,-5.695486133457737e-13
AMNH_10746,-0.10422941602760646,0.023924912798452106,0.05761241128977437,0.03433441593279469,0.09013806465232664,-0.05174153180027183,0.005489946311199311,-0.028209278175320037,-0.03821907575390858,0.013962460149879608,0.01763132209363941,-0.08252702673087219,0.10150579813783063,-0.14941028291355687,-0.05532773848748263,0.07825513568246192,0.011510122471594194,-0.11309145090043657,0.04176169765791004,0.04206338568109969,-0.14814167953615906,0.009455622592568049,0.07421161126087618,-0.12529830961752572,0.002747605229272753,0.11418415232120738,0.007305242114481095,0.03275387240417852,0.05194570903145843,-0.04992731210311519,-0.04070678764760156,-0.045005374949355983,-0.12477875091663285,0.07004570052914641,-0.13677412567787428,-0.11557856024176008,0.0038850974114745247,0.12025731213521852,-0.0021110484521153277,0.05129975078927564,0.08602918057042432,-0.022331723277809815,-0.06922912324055243,0.15532294514169045,-0.06355149700586658,0.13194247602595643,-0.010617600512623795,0.00486324428471154,-0.11000822515346274,0.07906311328496916,-0.14067965526210469,-0.021277432486598476,0.21120623885171896,-0.07841585498074968,-0.007949460278156026,0.18705100817350093,-0.04419546205451015,-0.028730880682246464,0.009529317921666423,0.03550762933365772,-0.25091048885404243,0.2418621347405229,-0.07410101250780934,-0.10130923507295143,0.045972807625540964,-0.012207807150399262,-0.06783425746447706,0.08173775847225077,0.04252878596503951,0.07523450060557436,-0.0797626810274907,0.1324201988811515,0.039268715362747786,-0.06566106509025971,0.14513216338109652,0.07137594079031533,-0.1643044790821281,0.025186209001360153,-0.14045296278678437,-0.09315258107610888,-0.0580011673406238,0.022195335233736034,0.20276096548901257,0.05043563007094728,-0.12710127910208624,0.05414707851620626,0.07115041702981213,-0.05778364926476408,0.30870734604356287,-0.020934691219998785,0.004125024731935326,0.06579367610720233,0.18464287002975696,0.021399107843891485,0.08887203273443925,-0.1136351243405699,-0.007196418112759436,-0.060190157439517236,0.011505597926891526,0.1385562956623125,-0.11904271273012962,0.13237022636398152,-0.1304481433585494,0.027286899031741068,0.007225325050112812,-0.01407663973807282,0.020464011071025242,0.09377498397689885,-5.19038839987261e-13,6.877229474319698e-13,-2.081033120038431e-13,3.9744021201703804e-13,2.2667808477257202e-13,-5.703021475472121e-13
AMNH_11154,0.0007750104375014095,-0.0023969874700298503,0.018811041218027635,-0.021911405196256544,0.1261834372412733,-0.023297381306387838,-0.0059052850801721585,-0.0160533585908845,-0.04949579132000641,-0.0025444141641014994,0.044625866160729784,-0.08697105355740548,0.09134902270522731,-0.15352213026843223,-0.07364809163106904,0.062210381762678554,0.012126279423236354,-0.09719385648064267,0.025049743756435087,0.0344835503462497,-0.146256447829986,0.004092318076661565,0.054177311556174966,-0.150934103152014,-0.0009344538428921529,0.12468469786843239,-0.0041926217020343305,0.035231034997181644,0.056512393941721195,-0.05350644264964481,-0.04510500469881483,-0.022559336863431922,-0.11709853164057563,0.06491416979878895,-0.14623947548337166,-0.1251657328563308,0.017367016906413842,0.12395989493113686,-0.011699361972879704,0.046050612576571615,0.09422991215297578,-0.024905797923524722,-0.06866315559757867,0.16277753282156612,-0.06794009068641742,0.1241546973634279,0.0010069881676429884,0.002939104487675901,-0.11008767153983272,0.07745545681961455,-0.14115199184754706,-0.026407272159364028,0.20207705452178515,-0.0835136528591427,-0.0021017567899742555,0.1942265036920458,-0.0463121401074016,-0.032965436034686636,0.004744075507637336,0.04280717842889128,-0.24631711690104247,0.24238360881358167,-0.07632628241300973,-0.09920794104403222,0.04892122917487883,-0.010402185091768497,-0.06956596259784349,0.0848241119330301,0.041283270558923696,0.0775613898487919,-0.08117206953502273,0.13448020892570436,0.03926349300385504,-0.06677392669393302,0.1439307156856449,0.07399940644860212,-0.16351120841026837,0.02349969739477823,-0.138462182773633,-0.09299695061679197,-0.05821489108221372,0.020518492176379202,0.2035827550351879,0.04941656385615174,-0.12622066716074606,0.05498854779045438,0.07164435302310206,-0.057217007241624714,0.3089687941594502,-0.020800071097688447,0.003599409472359142,0.06555939943015122,0.18449879024300858,0.020469924483835007,0.08883379696990087,-0.11305477382092743,-0.007612805125626975,-0.06069204694722919,0.010877324352903815,0.1389691416336614,-0.11950582732330349,0.1330072359140291,-0.13098929767773976,0.027639479087061908,0.007532996627654463,-0.013870669055086845,0.020589872410273494,0.09362784358791892,-5.181344003910112e-13,6.865602652864226e-13,-2.0750966734505082e-13,3.967407392098525e-13,2.25980760493263e-13,-5.701527254606627e-13
AMNH_16257,-0.088645381344202,0.06427319307056006,0.05107449296010411,-0.013084449379557357,0.1029606727852331,-0.03920175347018951,-0.010023467313885906,-0.04681112044821434,-0.04940461156559331,0.0053623853076961835,0.013072333918218715,-0.09659698742251777,0.07416749290593283,-0.15112100271872517,-0.07667249265346936,0.08030221781794893,0.017210059261093372,-0.09896394410956388,0.04015014897664977,0.030977078025660684,-0.12784980259958695,0.003718373698216337,0.07267042904561367,-0.13381761686026644,0.0036923797031627277,0.12672149918900982,0.005613996634077041,0.031652411722266564,0.04559363002257326,-0.05271927176727661,-0.03932593656772708,-0.03713542185034475,-0.12294032461795157,0.059275545084733344,-0.14678290889478943,-0.13090820688714835,0.014445712172922022,0.1150631968750356,-0.005424336155076438,0.046121705158198835,0.08690232507522279,-0.02198677027177022,-0.07038779210799011,0.15298473687729924,-0.06543212198949586,0.1313006537364717,-0.009609794454665959,0.01102419830930538,-0.10935221675471034,0.08002563508338233,-0.14496449868119043,-0.01840611424469482,0.20346034438223665,-0.08489844753030741,-0.000729430859603639,0.18961358614614468,-0.049242816501304014,-0.032104123612658624,0.007068814242360952,0.032482124698478776,-0.24682274937977214,0.24152850559958836,-0.07603251398772366,-0.0985693533649653,0.05067616798023278,-0.00913294142021518,-0.06536143308070756,0.08334465320211759,0.042088257531915925,0.07343013118165242,-0.07543115326507166,0.13231985771456684,0.04099668513159145,-0.06293442755425402,0.14557742011845556,0.07460218289412814,-0.16409916761501697,0.024862711384206752,-0.13990140486093208,-0.0954657556008552,-0.05894265920677339,0.020144984028507763,0.20451497896321785,0.04827175593100818,-0.1255553362404551,0.05407935028887234,0.07042069782804317,-0.05882277339295278,0.3087326420818745,-0.02049849216984477,0.0038891243151649366,0.0663543486680609,0.18506520392080428,0.020298353508574656,0.08871149465583877,-0.11310500417728857,-0.0071969029436868585,-0.06088173263712053,0.01042655978651085,0.13956921908111042,-0.12038505982350636,0.13385576701073998,-0.13045836440447917,0.027261321370852267,0.006807538385168068,-0.014033786259943337,0.02057462049103448,0.0936051271163122,-5.17104048607693e-13,6.858518728588968e-13,-2.0824704039818904e-13,3.968934063966699e-13,2.2641998697551908e-13,-5.69482043987618e-13
AMNH_16258,-0.11422010469561227,0.05068328007621556,0.06168298334998306,0.013078053484923802,0.11744073060489087,-0.015517215664642182,-0.00029767255615643256,-0.04038317550039974,-0.048424645659402916,0.026872386208034033,0.02090092928738781,-0.08524808498447778,0.0817794929256883,-0.14898860828669822,-0.06142516246428462,0.06926543026107114,0.007551214551578961,-0.10454771338580186,0.03868947757897513,0.03849895244073198,-0.13335250198801055,0.007294103126652831,0.04786022030388515,-0.14061754161304277,0.005246732289734858,0.1183358648519941,0.003755234593228541,0.03418203793230645,0.05762376858643653,-0.051859113361493785,-0.05265912559349684,-0.03393905595194542,-0.11732945296721244,0.05327306988525239,-0.13713344586123605,-0.11977496988496517,0.011816875716342972,0.1140866831707102,-0.001236012475283314,0.04224153132178314,0.084041506653177,-0.020249808489589245,-0.0731733037704173,0.16863713887916534,-0.06190311496913968,0.13301025130204375,-0.011480253966701505,0.006416460347549702,-0.10417083378857254,0.07985266837005987,-0.14239165657129713,-0.018199259684949582,0.2074682399159787,-0.08239398019749915,-0.007483732215382303,0.186321020527183,-0.04549730835909605,-0.02808494672082096,0.005947430071807251,0.040261222853466096,-0.25037524802949873,0.24005584596432122,-0.0770375775435413,-0.10551535762433067,0.04604284178643328,-0.005598926168910759,-0.06895495425352664,0.08344749867366127,0.047315850723843644,0.07327382592923617,-0.07601582554857543,0.13590646520896257,0.03761663739339472,-0.06486898371940626,0.14508328116085822,0.07626497610826084,-0.16534971850292166,0.02499627748232563,-0.13683881910033252,-0.09231208382798917,-0.059137815317957663,0.020689016086170606,0.2031704540034973,0.05007105145366715,-0.12398119464663672,0.05473280749420887,0.07239758702242195,-0.05830258742728178,0.3085432600943317,-0.020622429605956408,0.004877577645324524,0.0647020372182443,0.1844265532089968,0.01994884519485435,0.0882934532683721,-0.11291391432145478,-0.007341381539423769,-0.06135948200199146,0.010498613702611808,0.13854608740787072,-0.11970640800746066,0.1333528959391854,-0.13087927984537256,0.02727567504929923,0.007504743632140076,-0.014440101489149412,0.020583664269059658,0.09366682945539377,-5.171366136450475e-13,6.862435906395184e-13,-2.0828756657945326e-13,3.9713821369700223e-13,2.2702150431034655e-13,-5.696570473978042e-13
AMNH_16259,-0.1209659959191059,0.03849378311023037,0.033114401877478,-0.020157485402097032,0.11836383739604978,-0.015439204672302649,-0.00228070023201371,-0.03403611366088266,-0.04343771888749129,0.010700690012169983,0.027027772387716493,-0.08838849691655946,0.0943417715695206,-0.15362875018412842,-0.06378073729540616,0.07887595710571708,0.01625388585283505,-0.09722908420699614,0.030197539405196774,0.021856039786939913,-0.1345513143771205,-0.004871062266661984,0.07093402973586131,-0.1304440943545866,0.001951329114062185,0.10370531978854083,0.002562005615181778,0.04200608174634529,0.058982392235474045,-0.056445980900843684,-0.04187078561713272,-0.04337100808408209,-0.12260990188531909,0.0528274223432149,-0.1410580185769662,-0.12626620154400447,0.01319466536163645,0.11855479691198671,0.0007108612631559578,0.05445035815790237,0.08048607520970294,-0.021703190379176455,-0.07033520757455494,0.16135387533037196,-0.06039636207587109,0.12886369976040685,-0.012273633615686891,0.008724214711660903,-0.10309247426005225,0.07650985823558334,-0.1404226331371511,-0.021469447775219086,0.20833222811520205,-0.08369465954563174,-0.003870960763845994,0.19291854434470482,-0.0492691452073233,-0.03206105139619559,0.0029027664977768946,0.03617506017054101,-0.24706062455995983,0.23427584472222357,-0.07958967721286754,-0.09978585293007593,0.04428817376745784,-0.008996169102550433,-0.07517991739879165,0.08589444368355909,0.04484242866262364,0.07502000929242489,-0.08175610862432962,0.13270686789254088,0.03516630414431896,-0.06442502819769745,0.14516437363104584,0.07465479053505826,-0.1658830261263665,0.02691983147956541,-0.13888783192481757,-0.09144386666000316,-0.05672843769209802,0.01862990646634173,0.20389014436954686,0.05082136422479092,-0.12764567391476642,0.05506020210700765,0.07171630543381358,-0.05731811675631885,0.30917281363353144,-0.021970011887771826,0.004491354390415161,0.06612385956611402,0.18545283091648768,0.02054915949515187,0.08850196144710266,-0.1133057832346514,-0.007469051782867356,-0.06131507774347884,0.011405958834184552,0.13923134537615262,-0.11968500246314075,0.13297169141777435,-0.13075930200843763,0.027529282475956145,0.007230859043863818,-0.014064615332021559,0.020685653738733337,0.0934771221765615,-5.169036844745158e-13,6.858838877318228e-13,-2.0756218073750398e-13,3.9564391170354927e-13,2.2599095820632148e-13,-5.688031688736437e-13
AMNH_16260,-0.09200778156043736,0.008316423752119627,0.05428237646623047,0.009895977623470675,0.12244888960460859,-0.036475990203017006,-0.008844213577296369,-0.04417683920533184,-0.026744254103575803,0.003702050719267919,0.03816017433882085,-0.09649666635969582,0.08172222431182494,-0.15045485179297,-0.06882295832158199,0.07357092520313949,0.02606892339923747,-0.10774565863732279,0.03990555803336224,0.027069787549750222,-0.12873760519825872,-0.003051191622870614,0.06945356873560081,-0.13058652013277783,-0.005131995209665826,0.11520256604992361,0.002782182862138197,0.0441216866137327,0.05151717324894215,-0.04787917106458992,-0.036102394468174176,-0.05036288040409375,-0.12699399489363078,0.06155531362098716,-0.1391332912212902,-0.12497543195678042,0.011846185957443694,0.12068725702097378,-0.00423477647751065,0.04642667734974953,0.08074814810402038,-0.02624238150659083,-0.0712048748016118,0.16689914719299428,-0.06715737262507702,0.12565126697515464,-0.00734924069817553,0.014102343428232364,-0.10824360124883323,0.08547898481280634,-0.14595744377527792,-0.02914991486286972,0.20617750952513345,-0.08402129565870319,-0.0035282284640349077,0.18222046019963614,-0.04884308223068841,-0.03090678475560661,0.0049924810139575755,0.04085392972663129,-0.2478103624819217,0.24127477065845696,-0.0700793589748771,-0.10166354735511592,0.046590540187690745,-0.009377913689573681,-0.07346568263710959,0.08310754407226553,0.045387830400378214,0.07657966598981836,-0.07718487464275872,0.13248571979028875,0.04130315664591345,-0.06702572597509288,0.14134541882819757,0.07334399001014731,-0.16611585118441335,0.026838029586243678,-0.1389382916245454,-0.09307107480802158,-0.05781335068939169,0.01924829414897691,0.2041145210782674,0.04851049062654568,-0.12625751066245666,0.05397358859189909,0.0697831755858927,-0.05768197337823552,0.3084217283649445,-0.021136630694561887,0.004521131482687874,0.06610966316616153,0.18339305293141223,0.01960926256006944,0.08872618340888395,-0.11207934093072308,-0.006893913622538739,-0.06160722710810109,0.01126655484433786,0.13909197818408628,-0.11933425214540341,0.1339309342146068,-0.13020885860241005,0.027625507864493203,0.00747782713039662,-0.014071414148355318,0.020478118030741857,0.09357111125360928,-5.166891012421503e-13,6.856486910418103e-13,-2.0844467796193732e-13,3.966756838597669e-13,2.2672658564757802e-13,-5.69432472615251e-13
AMNH_16261,-0.08980479522302291,0.08364005452082393,0.06429339989648095,0.03138829699683465,0.11497794595884868,-0.017391799484896938,-0.019821013733622498,-0.026438272784394822,-0.04742328139501003,-0.0010883059906372082,0.028155828514714813,-0.098789567631269,0.07064718036546605,-0.14336577442425708,-0.06435717420237491,0.07247616203975252,0.011771320851518476,-0.11470419018604672,0.033577754179996366,0.030557449862126666,-0.1544806714986344,0.010834619109967423,0.06124663278555434,-0.1271699298796912,-0.00034231885722909466,0.125799034537415,-0.006457911098456447,0.0290847164133713,0.04101308563184844,-0.04329284774800854,-0.05611032317897807,-0.044303289082990714,-0.11729347030895895,0.07152820478311953,-0.14768307917573043,-0.12684045846506384,0.0007300152787717743,0.11496981951837026,-0.0025470568174932842,0.03860844463211859,0.07506094423960025,-0.02903107660621398,-0.07459090293406223,0.16247473579644608,-0.05570400388892242,0.1235535401617647,-0.005155158668959801,0.01623624164359101,-0.10720813947707945,0.07693151304873878,-0.143117124269528,-0.018133373176914623,0.20609476067385668,-0.07892754155050206,-0.004299724235016964,0.18668755433953324,-0.046613583040877184,-0.03230324661353406,0.0073742489020358435,0.04068437143031297,-0.24737554790321375,0.23433029081441561,-0.07720237445613853,-0.09907328721314879,0.04737209973375061,-0.01093675326236235,-0.07231573998544767,0.08349017574834192,0.04056934508562361,0.07189249695907708,-0.07958207591577467,0.133859984897513,0.03703498517873211,-0.06545238168066846,0.14272393154504728,0.07210662746484162,-0.1631958026413134,0.025391695834384352,-0.13820938427207838,-0.09419943078764162,-0.058693789513975914,0.018636067313842625,0.20535591303560033,0.04683557090863517,-0.12615310223459775,0.05373194956812394,0.07204788470474056,-0.05723637730380226,0.30968354905181095,-0.02108409186652372,0.004042931144759357,0.06563119779230339,0.18370359295449162,0.02017562238204945,0.08856159828486228,-0.11365912073030698,-0.007990956272159927,-0.06076697929860646,0.010856555941876076,0.1387516735932638,-0.1196908953347216,0.13317478458545712,-0.13075743122704364,0.02768518580069902,0.007472518021056257,-0.014125690534749824,0.02058031631342751,0.093692403837019,-5.180164538172354e-13,6.865825389033381e-13,-2.082994084941288e-13,3.972075160132779e-13,2.2658894836047857e-13,-5.704486148029697e-13
