PC 1,0.007667552110070044
PC 2,0.002010409251312453
PC 3,0.0008860026081364212
PC 4,0.0007133639258077185
PC 5,0.00041414483739388695
PC 6,0.00030459132301374205
PC 7,0.0002549481331649359
PC 8,0.00024044604873305216
PC 9,0.00020884714626037638
PC 10,0.0001992073805036885
PC 11,0.00018507730661491582
PC 12,0.00016451048662003646
PC 13,0.00015436439367562345
PC 14,0.00013623847260524295
PC 15,0.000121817082231711
PC 16,0.00010622656817960507
PC 17,9.893414191265372e-05
PC 18,9.787752179133715e-05
PC 19,8.19143595079082e-05
PC 20,7.7123769192214e-05
PC 21,7.494771964023395e-05
PC 22,7.417611124191207e-05
PC 23,6.335114614269315e-05
PC 24,5.371521394418702e-05
PC 25,5.3551830015861864e-05
PC 26,5.09400391942981e-05
PC 27,4.7113863582980985e-05
PC 28,4.236455881721683e-05
PC 29,4.058220628085209e-05
PC 30,3.9112716032935995e-05
PC 31,3.745262327067043e-05
PC 32,3.397996664158448e-05
PC 33,3.1326413248473105e-05
PC 34,2.9580090961135374e-05
PC 35,2.82121448364323e-05
PC 36,2.5340849106288856e-05
PC 37,2.43920741099567e-05
PC 38,2.231016110847648e-05
PC 39,2.200570465438147e-05
PC 40,2.0316044464056528e-05
PC 41,1.963594122942954e-05
PC 42,1.705835362790292e-05
PC 43,1.6908400619911883e-05
PC 44,1.585501980957938e-05
PC 45,1.5532185009610703e-05
PC 46,1.4338986253431971e-05
PC 47,1.2792514433388742e-05
PC 48,1.2026997355398735e-05
PC 49,1.1397680723213171e-05
PC 50,1.0674873210865426e-05
PC 51,1.027692932017377e-05
PC 52,9.29205743980818e-06
PC 53,9.169517742169461e-06
PC 54,8.40607192728071e-06
PC 55,7.99050521408641e-06
PC 56,7.396487057095138e-06
PC 57,7.111977305774317e-06
PC 58,6.603149456760981e-06
PC 59,6.365463767516958e-06
PC 60,6.090996246005391e-06
PC 61,5.646513026718341e-06
PC 62,5.373235184694521e-06
PC 63,5.125009045230712e-06
PC 64,4.611646110028527e-06
PC 65,4.2175603302710225e-06
PC 66,4.14932856705161e-06
PC 67,4.056482693972096e-06
PC 68,3.4923933384135926e-06
PC 69,3.395540670646158e-06
PC 70,3.1675156482959997e-06
PC 71,2.97253001117951e-06
PC 72,2.578478266547695e-06
PC 73,2.530819251461665e-06
PC 74,2.143618433255722e-06
PC 75,2.0954748778013935e-06
PC 76,1.9078193915296814e-06
PC 77,1.7629717959137662e-06
PC 78,1.5505022627410026e-06
PC 79,1.5243619973992664e-06
PC 80,1.3736308564790867e-06
PC 81,1.2964617759736067e-06
PC 82,1.2468416249197296e-06
PC 83,1.1786373961483855e-06
PC 84,9.997517641110065e-07
PC 85,9.110428122539254e-07
PC 86,7.80895979925438e-07
PC 87,7.50285476997146e-07
PC 88,6.580081320196881e-07
PC 89,6.249371810461905e-07
PC 90,5.165197356971258e-07
PC 91,4.936328450824833e-07
PC 92,4.489934683676687e-07
PC 93,3.976800454149262e-07
PC 94,3.097104128938615e-07
PC 95,2.828932436623043e-07
PC 96,2.4310429643730105e-07
PC 97,2.329672823422053e-07
PC 98,1.9302711634792016e-07
PC 99,1.6455409089215539e-07
PC 100,1.358644793641372e-07
PC 101,1.1744026829078526e-07
PC 102,1.1359822534599822e-07
PC 103,7.621501774288083e-08
PC 104,6.031166239093359e-08
PC 105,4.2223312184737397e-08
PC 106,2.783831280429108e-08
PC 107,1.5129199358485986e-08
PC 108,7.862236483984983e-09
PC 109,3.843278588778963e-20
PC 110,3.175025592763163e-20
PC 111,2.15106546236091e-20
PC 112,1.2363958360526396e-20
PC 113,3.1288777139403344e-21
PC 114,-1.0943125483885284e-19
