Institution,Code,Temporalis Area (mm^2),T Centroid (X),T centroid (Y),Joint (X),Joint (Y),Masseter Area (mm^2),M centroid (X),M centroid (Y),Joint Surface (X),Joint Surface (Y),Length (Lom),Length (Loc),Tiff file Length scalar,Med body weight (kg),Body Size Source (if not AKC),,Lever (T),Lever (M),Raw bite force (canine),Raw Bite Force (Molar),BFQ (canine),BFQ (Carnassial)
YPM,4944,182013.097,1176.367,859.563,1204.34,1163.24,138930.702,715.069,1253.538,694.40,1521.07,772.8,1198.359,0.08710855,26.08,,chow chow,0.027,0.023,217.38,337.09,68.74,70.00
YPM,4947,149039.699,1009.821,989.609,1012.01,1280.50,119869.471,670.298,1368.67,663.67,1655.02,785.6,1099.004,0.0975063,31.75,,clumber spaniel,0.028,0.028,248.67,347.88,69.02,63.57
YPM,4949,225189.31,1071.405,1140.668,1078.53,1466.31,143888.526,723.556,1604.197,672.41,1931.65,944.8,1537.902,0.0997439,43.09,,bloodhound,0.032,0.033,289.71,471.58,65.67,70.66
YPM,6940,173167.469,1103.21,946.092,1118.57,1237.50,144941.033,760.128,1371.175,725.16,1648.37,815.9,1193.872,0.1089421,65.77,,siberian bloodhound**,0.032,0.030,334.82,489.93,57.34,55.77
YPM,6967,195807.596,1090.304,1090.64,1114.97,1400.12,132219.349,588.544,1295.334,519.73,1588.07,856.9,1298.399,0.1089421,56.70,,newfoundland,0.034,0.033,340.07,515.29,64.26,64.60
YPM,7251,279845.967,1363.001,1361.647,1385.22,1751.42,204625.111,768.415,1671.232,744.91,2038.9,1083,1659.61,0.09595107,64.64,,great dane,0.037,0.035,378.99,580.77,65.66,66.86
YPM,7345,335385.897,1622.211,1559.758,1636.38,1985.37,203999.715,1014.345,2180.432,946.49,2627.57,1328,2073.047,0.07931884,51.03,,irish wolfhound,0.034,0.036,263.98,412.08,53.49,55.32
YPM,7355,167169.222,1112.158,972.551,1142.74,1264.99,124433.262,551.275,1211.339,502,1492.73,786.3,1155.773,0.1089421,56.70,,newfoundland,0.032,0.031,321.82,473.03,60.81,59.30
YPM,7356,108034.3,1042.762,1045.3,1039.02,1328.98,73076.903,474.792,1288.501,506.08,1552.68,701.1,1118.766,0.05837449,2.72,,chihuahua,0.017,0.016,56.45,90.08,79.87,81.28
YPM,7471,84349.562,801.584,913.448,817.09,1145.19,67645.941,639.185,1233.691,638.01,1458.77,679.5,1102.28,0.1054241,23.81,,saluki,0.024,0.024,129.89,210.71,43.63,46.42
YPM,7975,109244.415,905.108,1021.331,908.77,1267.16,75328.641,579.954,1345.847,553.4,1577.51,718.6,1161.601,0.1016249,28.35,,rough collie,0.025,0.024,146.14,236.23,43.72,46.47
YPM,7987,145258.558,1098.412,1292.536,1080.05,1557.58,89979.403,565.833,1589.382,546.5,1848.44,866.2,1344.851,0.1089426,41.96,,scottish deerhound,0.029,0.028,202.34,314.15,46.68,47.90
YPM,8002,156731.559,1163.394,1111.742,1183.74,1394,106592.863,616.745,1456.033,587.92,1736.67,800.4,1211.504,0.1089406,44.23,,english foxhound,0.031,0.031,269.76,408.31,60.10,60.16
YPM,8725,80668.498,1040.381,846.268,1079.82,1083.67,66254.274,390.211,1093.105,373.6,1304.33,620.8,1070.428,0.08278272,7.90,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9658%282007%2988%5B347%3ABFAEAT%5D2.0.CO%3B2,vulpes fulvus,0.020,0.018,79.24,136.63,55.31,61.67
YPM,9618,127088.747,927.081,786.084,948.02,1051.16,104649.58,697.32,1459.529,671.03,1732.42,683.2,1272.921,0.1054209,43.09,,bloodhound,0.028,0.029,201.84,376.07,45.75,56.35
YPM,10435,64043.442,906.536,874.315,940.00,1075.20,54449.907,737.971,1009.582,658.5,1225.07,637.1,949.729,0.06476933,4.15,https://www.inaturalist.org/taxa/42095-Otocyon-megalotis,bat eared fox,0.013,0.015,41.75,62.24,44.66,42.69
YPM,10545,88506.102,1085.261,1149.655,1098.99,1392.51,73506.201,537.004,1263.403,517.55,1501.25,631.4,1069.244,0.07931869,7.90,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9658%282007%2988%5B347%3ABFAEAT%5D2.0.CO%3B2,vulpes cascadensis,0.019,0.019,85.06,144.04,59.37,65.02
YPM,10670,225997.153,1439.145,1647.777,1416.9,2006.8,59799.682,1206.71,1166.584,1215.82,1369.5,642.1,969.976,0.06898633,6.30,https://www.inaturalist.org/taxa/42076-Urocyon-cinereoargenteus,common gray fox,0.025,0.014,169.63,256.25,137.57,133.99
YPM,10673,83764.986,978.772,880.77,980.91,1090.67,64844.587,598.789,1096.67,564.27,1336.28,706.2,1016.139,0.0723982,6.10,https://www.inaturalist.org/taxa/42087-Cerdocyon-thous,crab eating fox,0.015,0.018,63.52,91.40,52.63,48.80
YPM,12614,77160.567,917.216,743.642,911.33,981.64,72979.793,646.661,1071.723,626.21,1308.84,633.7,1052.603,0.07688996,7.90,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9658%282007%2988%5B347%3ABFAEAT%5D2.0.CO%3B2,vulpes regalis,0.018,0.018,74.27,123.37,51.84,55.68
YPM,14240,66822.801,951.338,778.667,963.23,1011.68,65819.931,390.729,1037.253,368.09,1251.5,613.7,845.408,0.07371265,3.20,https://www.inaturalist.org/taxa/233598-Vulpes-lagopus,artic fox,0.017,0.016,70.80,97.53,89.97,79.21
YPM,14389,85350.623,1035.265,878.712,1033.26,1139.68,56592.969,579.837,1123.521,556.51,1341.77,656.3,985.968,0.05501934,1.90,https://www.inaturalist.org/taxa/42077-Urocyon-littoralis,santacruzar,0.014,0.012,39.41,59.21,70.77,67.49
,,,,,,,,,,,,,,,,,,,,,,,
AMNH,212877,141522.511,1238.688,1086.493,1199.02,1335.66,92479.622,594.352,1009.663,619.5,1249.2,578.1,894.242,0.06234968,3.86,,affenpinscher,0.016,0.015,93.26,144.26,104.74,103.80
AMNH,189373,114097.194,906.146,1101.847,918.35,1350.11,81661.477,835.754,1286.153,790.43,1529.76,777.2,1191.253,0.1089427,24.95,,afghan hound,0.027,0.027,179.14,274.57,58.34,58.69
AMNH,165673,85669.206,869.139,953.058,864.52,1180.14,55029.27,848.019,1346.934,830.69,1565.66,654.6,1093.009,0.1089425,24.95,,Afghan Hound/African hound,0.025,0.024,126.68,211.53,41.26,45.22
AMNH,10746,85249.422,976.893,853.716,1014.87,1093.46,72010.905,981.689,1266.359,945.82,1511.25,647.5,1034.394,0.100461,19.28,,border collie,0.024,0.025,139.04,222.12,53.72,56.14
AMNH,16257,145457.824,1204.618,857.183,1223.51,1155.35,110191.763,668.839,1236.499,610.12,1515.02,766.7,1174.959,0.09302836,19.28,,border collie,0.028,0.026,203.91,312.49,78.79,78.99
AMNH,16258,210398.335,1490.004,1266.278,1476.45,1588.12,138871.722,1009.663,1541.719,993.12,1874.97,958.8,1429.558,0.08566669,19.28,,border collie,0.028,0.029,216.75,323.17,83.75,81.68
AMNH,16259,99326.407,947.74,906.771,959.17,1161.75,75571.691,751.185,1225.812,733.14,1459.42,645.8,1079.479,0.101625,19.28,,border collie,0.026,0.024,152.42,254.78,58.89,64.40
AMNH,100450,255412.336,1387.157,1800.149,1413.05,2186.57,160665.392,1182.035,2270.177,230.68,2640.63,1216,1982.477,0.07400154,37.42,,borzoi,0.029,0.076,268.75,438.15,66.89,71.96
AMNH,80291,123375.496,1133.566,995.734,1145.87,1261.83,104523.104,871.094,1398.376,844.43,1668.34,772.6,1351.786,0.09302772,37.42,,borzoi,0.025,0.025,145.01,253.72,36.09,41.67
AMNH,70118,103791.102,1181.811,836.236,1151.77,1086.64,74678.876,716.99,1252.297,733.33,1497.21,679.7,939.798,0.07306068,29.48,,bull terrier,0.018,0.018,93.53,129.32,27.27,24.80
AMNH,35609,215522.149,1477.25,931.175,1179.26,1256.83,160015.744,869.232,1112.838,908.58,1431.19,794.3,1044.314,0.07773142,21.55,,english bulldog,0.034,0.025,313.54,412.23,112.53,96.93
