,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51,PC 52,PC 53,PC 54,PC 55,PC 56,PC 57,PC 58,PC 59,PC 60,PC 61,PC 62,PC 63,PC 64,PC 65,PC 66,PC 67,PC 68,PC 69,PC 70,PC 71,PC 72,PC 73,PC 74,PC 75,PC 76,PC 77,PC 78,PC 79,PC 80,PC 81,PC 82,PC 83,PC 84,PC 85,PC 86,PC 87,PC 88,PC 89,PC 90,PC 91,PC 92,PC 93,PC 94,PC 95,PC 96,PC 97,PC 98,PC 99,PC 100,PC 101,PC 102,PC 103,PC 104,PC 105,PC 106,PC 107,PC 108,PC 109,PC 110,PC 111,PC 112,PC 113,PC 114
LM 1_X,0.006531604772241577,0.05009490875471038,0.02972113602905965,0.04436332604387347,-0.017924063907639332,0.0024801589028697777,0.045995573830281064,-0.0634064415680646,0.05886721419791445,-0.023448418025749897,0.028565807696370023,-0.06317636765993392,0.008553183070134779,-0.04442321592190759,-0.0433409735157983,0.002947987217923677,0.07665893045126998,0.011193312269112991,-0.057591449476919805,-0.017657216507706033,0.0036438888357028533,0.05607148419929509,0.04464581865205651,0.014862579933592588,-0.02589526857947375,0.030603628772835442,0.033785415149415375,0.10705263049043488,0.04911560387914606,0.07306944878593484,-0.011771515148035308,0.0026906314218577416,0.0423080067404567,0.017866193716938972,0.07056344442954444,0.019364862930220765,0.15346827175240224,0.02181020986052069,0.015963091666888692,-0.010170117360458523,-0.033006717189150415,0.07252320796456391,0.007623322472447637,-0.09314952900714597,-0.001168572940479284,-0.11775512496270052,0.021422361181593255,-0.12462596645218985,0.2823733824969545,-0.039688415030083385,-0.06153348265862253,0.09540712079831566,0.0015259246557520372,-0.02127958108730277,0.07327218296124774,-0.10275781379156207,-0.11676696973765317,-0.054687931415437964,0.01605979104817658,0.08230344775078692,-0.02620485741191115,0.014619467225535908,0.14247174695421683,-0.024344047197712777,0.13305328520528695,-0.1616975593188255,-0.003457007241281661,0.13514685057310388,-0.08111423622546511,0.02699289364649319,-0.030153809311883904,0.03463069582978126,-0.22857020462139144,-0.12482755075133271,0.041352380755215495,0.11264348690815351,-0.17609423640287844,0.004714497024731622,-0.10636825274186847,0.05331913780424245,-0.01086191096135734,0.18479627871355475,0.2697222485679461,0.009577257140757297,-0.030377064265869808,-0.12498915356156622,0.14627355097388756,-0.10092843831608724,-0.006820320739973914,-0.03563317569875704,0.1064347434185042,-0.012217347431069255,-0.22013452137853695,-0.1601650498497668,-0.011084627401675061,0.17644489364669622,-0.04647396476347694,-0.1090660529466363,0.044241148734110704,0.14909919655514434,0.09337884802870555,-0.08310218258241542,-0.16390362316285942,0.10178451440200874,-0.015394079611333008,-0.14357503126366353,-0.03717513436318698,-0.04555307885671484,0.0,0.28243785418678335,0.0,0.0,0.0,-0.19473032506389934
LM 1_Y,-0.03734610067656191,-0.030400986090099225,-0.03608475353960852,-0.007935639662807914,0.009455116831266153,-0.030358972141140163,0.00289761200122457,-0.040403832796678474,0.05197594542176073,-0.08565036046177008,0.00973080418987031,0.05458904257640711,0.011850664526576182,0.04053807776388517,-0.020716337602939727,0.0404361320800183,-0.007395678544259432,0.09498074161839089,0.06887312437458389,-0.03773913469906166,0.08371333865973267,-0.029443124904088805,0.0006407862636052183,0.022160476227319675,0.011141957320391763,0.05041085847931504,0.13251605958016968,0.03783709153177588,0.13022720531301857,0.03663153712876542,0.008937769803465934,-0.04193250962783332,0.10948120695621434,0.03390853066356381,-0.13531826144713402,-0.29149021366648514,-0.06256940650088108,0.015733644666724615,-0.02313448865090684,-0.01313248076122113,0.08359500311821888,-0.11608431498294795,0.16683778633640653,-0.031511717801210475,0.16083079999321,-0.01633172787061511,0.045604537289565594,0.05978811898100741,0.14294958924934859,-0.13500470528235659,-0.06551413263943912,-0.09340774458121509,-0.06817235606360919,-0.00629288929045751,-0.1454025864611842,-0.05809164085742867,0.18224824531379846,0.18553469037743908,0.11485602568616349,0.13972399654339196,-0.05732740068362012,-0.00215533064112315,-0.07769119288301488,-0.1029809921034439,-0.0914038578385449,-0.22219317951836712,0.09489644255595031,0.08010556162162172,0.0034028015988154196,0.13559413021162184,-0.02710472281910696,-0.03704246383415911,0.038316133748697655,0.24043570751681734,0.03385094134323044,0.029614752234925712,-0.013651706583808033,0.03139374878686419,0.047812502786772376,-0.1855360606630576,-0.08203308568095069,0.15993018800730685,-0.13721899487994346,0.0003138921841467151,-0.02313523789134074,0.04759007350094875,-0.056097828084547746,-0.07618825508831156,0.013577656209833805,-0.17258037354472708,-0.06116804371814338,-0.034488302403194844,0.1925268683508736,0.018581839183912412,-0.0682970933934017,0.04704712049567779,-0.02097040065170217,-0.07366332499607184,-0.17916765125531922,-0.08131989931647382,-0.015468936851482122,0.04687515155427334,0.11201995113036817,0.047913569276713225,-0.03576211986577774,0.081577392296396,0.0846606048149908,-0.04056064901201229,0.002597996010231644,0.2605910414023157,0.013028083656997603,0.0017519510149418451,0.004023517019147487,-0.16170283191348012
LM 1_Z,0.006194900329090639,-0.021087326388769312,-0.031229326685117683,-0.010626367350657528,0.0068838336953675906,-0.0026578978155168964,0.018708636404391982,-0.06838972459156732,0.0036118478306473726,-0.04495626478172091,-0.00486883661260112,-0.01841582131107562,-0.002056630756033894,0.007007007875880523,-0.036342995811754576,-0.032402779834350755,0.05024864347381155,0.00746269874771208,0.01651891827151741,0.007890468599194445,-0.010548685895439124,0.06610586380030495,-0.021627570139446446,0.041802257261761,-0.027014567561792355,0.012610429223795688,-0.02626632493052525,-0.011987601273280954,0.05854724879517106,-0.020708691667028916,-0.01367162314801329,0.03898786124589619,-0.02631931475501595,-0.09212600232867614,-0.034661868461133984,0.03300594035155271,0.10783336878388489,0.030919468402449097,-0.03326244134280563,0.050337114196924666,0.11018249576723735,0.009687206949803902,-0.0041284930123797825,0.153453430740551,-0.033590733804850025,0.03462951957741593,-0.032843294927974685,0.029674727832232385,0.020496235522157517,-0.08186366246334957,0.08874645522494322,-0.04080157534417204,-0.04557374076656955,-0.01644608635573297,0.16340306732153617,0.004283727698285872,0.02831681516282141,-0.07651779617667678,0.12321336603326757,-0.1410133768738345,-0.144464055284409,0.038866827457993997,-0.07989042615344145,0.06343675960774878,0.028768639273693965,0.10480693841551324,0.1432109592614787,-0.11913228829968142,-0.16731916472901842,0.16990519321626862,0.057548495277777285,-0.09718808083424738,-0.1017767285223478,-0.1623578535008691,0.013795558578160857,0.04239716918362194,-0.054738998043397935,-0.020135969458862386,-0.09723035723417696,-0.01511130238654314,0.17335862692448242,-0.026961455118872373,-0.21919712615812897,-0.10637296005590034,-0.09003609441178488,-0.1270571775551126,0.14361480071625474,0.14295334852158367,-0.006305256037609401,-0.0014118181167177386,-0.29322914893194413,0.042630310319288045,-0.03443053558771894,-0.1973750318186492,0.08955952661075503,-0.051777496204839984,-0.2431372272806327,0.11486377059428071,0.04305441378272586,-0.1718103929118864,-0.24281604984879784,0.10213798344793736,0.01532559798065974,-0.23797122646089056,-0.003665953031159242,0.06694145899848306,-0.07382075703840273,0.008492481567169032,-0.07055589955064889,0.20321927069068213,0.07450858554258313,0.01238259339971428,-0.034430659445556545,-0.1685849558674619
LM 2_X,0.03448368986952794,0.015481490627899094,0.005165370379396803,0.014012460216538172,-0.015689055920672757,-0.00252828082737195,0.0029406359080106684,-0.04881020729016692,0.017685371439505604,-0.010125310653517518,-0.024558272403397734,-0.022449393348692483,-0.03866487813883893,0.014451526644797884,0.002437575732260525,-0.04047538193313744,0.03472745737620721,0.010286352329163344,0.023414639075701273,-0.014530736843012974,0.02388463311455673,0.07845089893192708,-0.02071978621509673,-0.015956482126999332,-0.005973918599063995,0.0005976305552759887,-0.023391494947300213,0.040958958075010904,0.008782575648278522,-0.042142707520635904,0.01633143806041274,-0.003299589249605703,-0.04343565669488387,-0.08725959360165383,0.002364376914330857,-0.10225880469410446,0.10489493890559644,0.013114567454454397,0.03136632268917331,0.021691784886124756,0.07651285131963077,0.0873681834352501,-0.03410988157358384,0.05125144163605069,-0.05605772238920854,0.050905511057718345,-0.10719136472424849,-0.0015055568788327346,-0.023313816646298172,0.008918506594479137,0.0022501664965626504,0.001179842242850911,0.10381539371712536,-0.13199062475546913,0.01723772729901274,-0.03645696104206553,-0.09616290892129098,0.038954565286828495,0.06117385732882733,0.04962652524995992,-0.0012336942839206069,-0.04887925886916833,-0.03294055409597078,-0.04145458722418364,0.06738022241215133,-0.05792688782444016,0.1224500691682711,0.06998053973423327,0.0935099454551538,0.034640773419163474,-0.02547439859551345,0.032063448273292265,0.04966547357435335,0.03769338086505062,-0.07905188576010183,-0.06110761174951982,0.04620908486346805,-0.0380634808134043,-0.06254144315349361,-0.0007027858337393909,0.11923570892337294,-0.21110692489626834,0.009351921657542724,0.05622759070280616,0.09207120255107928,0.14301225087130523,-0.2931899614406537,-0.10293872655809413,-0.14818276540636743,-0.051555080913166976,0.17437090177640913,0.2214013660045936,-0.050330871369012445,-0.005523091797222732,-0.01346110188413552,-0.3388590082959097,0.2519816962440957,-0.06175951945186595,0.18273291073900888,-0.06794401127119983,-0.06667376800265067,0.15553331469333798,-0.007705035889252469,-0.11816333488186263,-0.014064496495403816,-0.3373338171676067,0.07706879356972202,-0.21126380792130758,-0.08562819267912627,0.18059158752495602,0.09405857944000727,0.015536423462345239,-0.04115096954643659,-0.15516938077647488
LM 2_Y,0.018343155066521274,0.0013247398973751888,-0.015000724319543291,-0.0140154859251093,-0.00012703399703761298,-0.03024628635980769,-0.0074256292316436205,-0.02209324649797409,-0.02464792910139471,-0.056328572606214364,-0.005795186893074842,-0.019205183957025078,-0.017164377291161336,0.019833086111588204,-0.017549020172499874,-0.037781705856667944,0.026893725341742145,-0.005882493660598728,0.014653330619208364,0.01913873952001926,0.006798924908824967,0.06168000424338962,-0.04422268530546725,-0.002244750327436234,-0.007269097951972399,0.0018754758616557215,-0.09746031143937117,-0.026218451647529645,0.015740904002612195,-0.01205938666814503,0.020844414232047633,0.0770817522401831,-0.009400803843022961,-0.15057812951972216,-0.02514950425505204,0.011567482289349113,0.03458838359916669,-0.007355725426219266,-0.0036066831082606303,-0.09369603868197636,0.005850799566950892,0.06464002645520213,-0.043300142454876046,0.09228518616624251,-0.07793107987675334,0.09463194002890217,0.01499575619724788,0.039294261478279635,-0.07059522566839548,-0.05463666516488116,0.06103461272228797,0.05073348442013915,-0.020602996107803986,0.033227094419548076,-0.026019384964788242,-0.04121687236730089,0.045366980374335265,-0.0045245007353481356,-0.10548220261330248,-0.0030501853295517543,0.007457036817103098,-0.059573790813329995,0.009149123317751006,0.00032579177902027464,-0.11333932792048011,0.1093490097606933,-0.010903045781511612,0.0233601026038344,0.06674173494320751,0.10685162397285,-0.19282674893365565,0.0279300564818414,0.08897974846756199,0.05381459838383742,-0.07011976738862992,0.004203437450603805,0.16953116040760116,-0.03794814097605927,-0.07738442160059295,-0.009494162739740925,-0.04362600161666999,0.1734185116516828,0.048301105570600376,0.16914918043176058,0.06280304274179098,0.03853270070721433,-0.014424731958337331,0.08417457984223144,-0.2050643955154992,0.06149379279078569,-0.10103358958058502,-0.18200377059306086,0.14304495690046015,0.12579188040641037,0.0008134113289135251,0.12314860479057028,-0.012940677599308007,0.3016369609448636,-0.08092391184386158,0.11969517453993453,-0.11822099398009632,-0.0012521238081718829,-0.43627663290157676,0.17604146190327127,0.08585360200611565,-0.18162900576976526,0.1947004661140517,0.1932990841083384,-0.09091846408457774,0.14144762085878643,0.1207923815039503,0.019425300613900506,-0.04003761052598336,-0.10763371074595021
LM 2_Z,0.048221339450979055,0.011428361668770433,-0.0021542917715259677,0.0020539964301256627,-0.007711109900742223,-0.013865602763982469,-0.009576794968826234,-0.028585947108083366,-0.0009336513626985956,-0.0201583497189931,-0.015364192370042141,-0.011733481899897051,-0.0660447945143623,0.010315099221981181,-0.010035685954338945,-0.01712559112834121,0.012547666244647706,-0.013418382660996792,0.019728819019488118,-0.0240525847471544,0.030376126818672314,0.06282718310710256,-0.05017264016419921,-0.04309450623994769,-0.00636848290107104,0.04316171530308244,-0.09441125508990925,0.05609247069878693,0.014148367172735158,-0.01430475231952053,-0.02547540829310218,0.0031305699802267237,-0.001846629763359846,-0.09926144352361842,0.01157048874477745,-0.03309624664735111,0.037587632387846785,0.017223712410700646,-0.0003054828784221004,0.009024278309012757,0.045287275047711816,0.06513157352735965,-0.035300121758063095,0.09037687106517243,-0.04743855241458562,0.037957887487525925,-0.032085967698256564,0.0011978365778482077,-0.06307862014596316,0.0446058296847958,0.04026632739002147,0.009173696572417142,0.0352119086555644,-0.04337612324222818,0.019545846700992582,-0.03800203037383158,-0.007400947824109918,-0.011102464661685298,-0.045703257282557114,0.026807226772878612,0.07228001078139547,-0.041755858711719496,0.020322474736266322,-0.07763829281154284,0.0716537528273679,-0.008211298053866127,0.10444846220506955,0.037425184724607194,0.019906199391451426,-0.028247961754647447,-0.04647976159677835,0.05348098799521006,0.03380078497971128,-0.05434280448324354,0.0007385417852356686,-0.08874004777820706,-0.005761468122040459,0.06089383292983194,-0.12286531465274757,0.10472394218058746,-0.08789157294928292,-0.18466999898621553,0.04609721794733608,-0.01580944701068637,-0.03557974966803424,0.015759010079789377,-0.15084380483043308,-0.15688252622226068,-0.022633033187509862,-0.035273069247932096,-0.12012055514365756,0.04336881029987185,0.07605516592698597,0.16179721790777787,-0.0735290355751608,0.07673013585149624,-0.012531746754582004,-0.23627866494629732,0.04616896038837714,-0.008105907909109755,0.06540366273899069,-0.28186066365073115,0.11097129293150745,-0.02709750579456808,-0.3019383684486925,0.22486038979901926,-0.18618541507740843,0.5433190968578241,-0.09095687808574839,0.1412850255034441,0.12090903270586315,0.01944269360290102,-0.04004306213810003,-0.1074555010206001
LM 3_X,-0.05271119099869438,-0.005619698738619699,-0.07778553357968054,0.025497393405278894,0.05555269464932295,-0.01178734193188577,0.06974331435083835,-0.02254411717135825,-0.031867153520557995,0.01625954732788363,-0.020206341827697417,0.0002514964340137833,0.016527047808809727,-0.0084086662867899,-0.043716688371856646,0.0009969237788617995,0.003434352146805588,-0.03591100361492851,-0.09380052866792116,0.03423996272491928,-0.04038867731662205,-0.10426084114763651,0.0769874899964657,-0.05848684331226731,-0.08932239865016711,0.025620001621568564,0.05994488897022283,-0.19737931497171987,0.03808278908696126,0.027186949533153166,0.08579143731370092,-0.10548774498011179,-0.002580840340506537,-0.05231798564602846,-0.045269382849626054,0.02391726818453082,0.036342619719116065,0.06984766717198142,-0.04583273419601243,-0.10175720715971634,0.12958731258512274,-0.07755306822111739,-0.07377270396263902,-0.025380044560032348,0.10892260946943061,0.05555512528923349,0.15933783537175217,-0.00841941749115102,-0.11934378090294584,0.07094872287281023,0.01644311704377799,-0.2283059389508923,0.21447281802764048,0.15455315699598673,0.005737648607706351,0.17229768998737705,-0.039974345790672466,-0.02237524573017587,-0.14518458021745612,-0.08540602731265128,-0.20610803725742038,-0.13106331321388617,-0.15398227388673677,-0.1252290305303751,0.05787642549590424,0.09126014507577729,-0.027210207317879292,-0.039227549861785914,0.09233360414418564,-0.044971638600077156,0.06452258713123833,-0.0777854751142335,-0.11087643557923252,-0.060536197879865514,0.02342338655214424,-0.033203608486582624,0.12974756178805413,0.04180507530565025,0.0007216612285234424,0.21295004351023455,0.048943124370707664,0.09989470650469257,-0.08129209539549755,-0.01989443983753253,0.12295557112625709,0.036688641077992086,0.14270025650339327,-0.1993331069709648,-0.19560400428962604,0.06754390129428557,0.05785262697796309,0.013227811580417623,0.08272142160638045,-0.10016176488219466,0.09255563969618985,0.1569671591188143,0.08574058202277783,-0.012149227301793013,0.00309113234793701,-0.06290845314661649,0.21019836596136693,-0.09455289948986559,0.2017578548094903,0.050199824707349704,0.09960716669619911,-0.0949610955895388,0.015547233133565376,-0.02994608995847258,-0.011592987781642456,0.18065511381446164,0.06877622663629318,0.009948848429251476,0.004220661774224463,-0.0685956459771024
LM 3_Y,0.03401074268118924,0.005866752567507805,-0.01115530277207649,-0.05202332382536924,0.005272938600786472,-0.050278780046058916,0.0012745369899257208,-0.012526393328086019,-0.049813058773435254,-0.0102966108137989,0.030122016177654202,-0.06956593487649765,-0.0011999426651192486,0.02218811751474138,0.02489014942385833,-0.00367933037294289,0.009765446518347123,0.011529376102910069,-0.04434692160229373,-0.0005364552849243732,-0.0888881460352121,-0.01895096465595864,-0.06392060137217996,-0.05515891698982762,-0.05960462808890892,0.02337035371771136,-0.12858150404194096,-0.057371361231364174,-0.014427311014523048,-0.05587329021194305,0.01831062485040409,0.03548556885620142,0.031091788403330045,-0.09723103836285582,0.008274250215903526,0.023294385884769998,-0.003868464153236533,0.0339207575437404,0.050849817321129046,-0.09729318873038492,-0.03028195784041048,-0.04624869997114091,-0.025947044797250473,-0.04182600869622636,-0.004448833443637001,0.15939683397804036,-0.04783856470897485,0.06385742048705108,-0.004307563357251099,0.029434195480125967,-0.08030899057985144,0.05058449929109172,0.08129574712747219,-0.11641841628854194,-0.034182425582875334,0.02743605148182629,0.10030146070118631,0.07137003449240199,-0.2391033422253576,0.007365316406255001,-0.001855410812638772,0.03513329067361918,0.12071590796561224,0.014308314138269908,-0.09309038291527673,0.023419169098020724,-0.05092439100488288,-0.10795478792647775,-0.020136392302834802,0.1073632126661628,0.023282264178835374,0.18693931257478683,0.07717932729273899,0.20634857345418262,0.04535644279015076,0.09853195475452142,0.02064344255819833,-0.05771507392413164,0.22792182049628557,0.09132407432840745,0.07475494825616526,0.09048993483347076,0.09506298058172953,-0.008385006974123444,-0.021992417512226886,-0.29185862180191097,0.17285670923690774,0.18807679162966032,0.11422313111462674,-0.013539803447848628,-0.15197545255308265,-0.09207381731465426,-0.08576582565897645,0.04393498864234719,-0.17902370149790706,0.08313770143916095,0.2862956553925291,-0.17166088734369372,0.1578090352516774,0.028786220287797176,0.062019738202515814,0.16433257717600755,0.1308840507938893,-0.15991675621023527,-0.13338434343757608,0.010394825442149095,0.034000314356781663,-0.09403291696902281,-0.11519342076789192,0.08903445541690844,0.1624498296006471,0.02592859613211186,-0.049084013703547306,-0.06410730944290566
LM 3_Z,0.0646268345368908,0.0052537414759353165,-0.016758585912545882,-0.03147688158793002,-0.013617172083430915,-0.037541254535524544,-0.001893288474931698,-0.006797290892964361,-0.015419285589378603,-0.023772190418151984,-0.0033020335229927097,-0.028693906505611797,-0.02214042491807998,0.0073568023699694665,0.011705958986971705,0.01426530298508513,-0.0008446277730008128,-0.029411292086986805,0.013549455072989677,0.01535596013842881,0.023320665053423416,0.04989670376582461,-0.058371463763607946,-0.08113352407312645,-0.001987685680484748,0.03405787990409183,-0.09207562304812007,0.0474778981693322,0.0334899261075518,-0.023800695227208006,-0.0180176041519957,0.0033236865190549468,0.03248069052195004,-0.07906879107215133,0.03898226832227585,0.018369082134075673,-0.07045845305415284,-0.03769776605943835,0.005094649120611058,0.051684568436446233,0.02236410244441568,-0.009473889664333558,-0.03351398135373914,0.038157087992499235,-0.014886336651988559,0.07142345416284158,0.0028234782021924784,0.062023646981656896,-0.04824528663654751,0.07069452365707533,0.012131104042388811,0.10378253585692634,0.05705864571849608,0.026106532615915088,0.03034144840510039,-0.07349890133042135,0.036002362627138546,-0.07312314350070179,-0.07362010860304886,-0.07042221002429128,0.010496534720872279,-0.0683001597411746,-0.028282500161496124,-0.1500615233680592,0.09868807624547629,-0.0648532138090203,0.023067857794831417,-0.01080537002883851,0.036965799136293054,-0.14008410978729607,-0.05596118373424687,0.07009247592588551,0.07256627292966016,-0.04139371815233624,0.0070738826361593276,-0.0532272060064964,-0.05721355008586827,-0.05836646401499365,0.055474856020035705,0.0321421285007175,-0.12364592241703803,-0.16666591086517882,0.20182982715638492,-0.022487394778870757,-0.05211445034821118,-0.017604190593984274,0.043815627944771084,0.01459348552529329,-0.05344992604553141,0.08769174699690678,-0.07403572481296823,-0.009190892636809235,0.12690118196904235,-0.1867527736618797,0.024529854430101368,-0.2377594231735273,-0.2014412925072317,0.09096941708003797,-0.30156595488810817,0.13473142664512158,0.13447315501847543,-0.1263782577830683,0.02010300426404596,0.09704116582483457,-0.11613243286042932,0.30193316645465834,0.1662724339892685,-0.44000091602602676,-0.10972142992998073,0.0917518934593691,0.1588534954169869,0.025273750844134975,-0.046032440937885874,-0.061432037236190076
LM 4_X,-0.16278221048706087,-0.052845404493109226,-0.04929056631053416,0.05894384526106821,0.046436367421344875,0.022583926048903975,0.0030362956630887983,0.14569336550785533,0.008987528884848122,0.06900917891168715,-0.0034291407060647277,0.06361961603512106,0.0023865633191905967,-0.05752572389623294,0.04325229696259369,0.06791968260992155,-0.14987080107977188,-0.06415921666695153,-0.048522152861541504,-0.06363658118894551,0.005246047654494026,-0.0989310500605257,0.029981049258531647,-0.1382044596007019,0.16287687511891055,-0.036423070776143936,0.00011322459080993418,-0.06120206751883892,-0.03359116675410473,-0.06585656170454458,-0.039778248364493285,-0.017011719225301432,0.0943249815032155,0.1330041490182447,-0.08894607867729792,0.04983279790633526,-0.011559166870286224,0.09668944766079311,-0.03294911050040919,-0.07213858529494746,0.1560918797394729,0.04808839266109439,0.0449402226593827,-0.1510554434455417,-0.06142458232314432,0.02844925689789454,0.1447845032233253,-0.03185585836767328,0.052623478190622484,0.11766248706446585,0.026531487932213906,0.20424566076710585,-0.02928862596426238,-0.08175485976407079,0.08424982187023278,0.1323694972104705,-0.015368486605955732,-0.01654179718427203,0.043140579940397376,0.04778093219289333,0.23128903591638494,0.03839742653946835,-0.07829844060785103,-0.09338912161388775,0.15602045656637473,-0.2139048265988871,0.012612342672318241,-0.03372602029058093,0.05574824221124152,0.08992415899662616,-0.060667185647410055,-0.13597114814213046,0.0786659690166242,-0.13651510615923,-0.12185901194975908,-0.09377090641255692,0.25680877804128194,-0.12254538802848218,0.017195945795826728,0.029847752128428672,-0.03637695895778332,-0.12478791812845463,-0.24387265218723284,0.01510245082338871,-0.06952647996211479,0.01051764573579368,0.020257652497700684,0.14708230442907058,0.09927539024570886,0.11759595628275447,-0.005961203692938314,-0.0189389218229898,-0.07703820536019376,0.010618583819850843,-0.05269730342933262,0.13921127212408443,-0.09563287360031826,-0.06667684918937507,-0.0071704605037078775,0.041156030855709104,0.11785509358164083,0.13226171226421016,-0.13900129801713496,-0.03806637086796005,-0.15613666727433398,-0.08098113392735132,0.012329088989914182,-0.031602530170057895,0.031086511252037593,0.1637967332401624,0.06496169738713378,0.008234079123884906,0.032256384645128464,0.004501710504785189
