"","NATURAL","Herding","Terrier","Toy","Sporting","Working","Non-sporting"
"Herding",0.027972027972028,NA,NA,NA,NA,NA,NA
"Terrier",0.111888111888112,0.643356643356643,NA,NA,NA,NA,NA
"Toy",0.027972027972028,0.027972027972028,0.027972027972028,NA,NA,NA,NA
"Sporting",1,1,0.867132867132867,0.027972027972028,NA,NA,NA
"Working",0.167832167832168,1,0.41958041958042,0.027972027972028,1,NA,NA
"Non-sporting",0.027972027972028,0.027972027972028,0.111888111888112,0.027972027972028,0.0559440559440559,0.0559440559440559,NA
"Hound",0.027972027972028,0.867132867132867,0.111888111888112,0.027972027972028,1,0.727272727272727,0.027972027972028
